label,stage,kernel,d_qk,d_v,h_q,h_kv,s_q,s_kv,topk,fwd_flop,fwd_mem_vol_bytes,latency_us,latency_spread_frac,tflops,mem_bw_tbps,roofline_pred_us,roofline_rel_err,roofline_bound
v32,prefill,sparse_attn_fwd,576,512,128,1,4096,8192,2048,2336462209024,10804527104,1694.5069666666666,0.04006233160171556,1378.8448528011365,6.3762069537276815,1350.565888,0.20297413078403975,memory
v32,prefill,sparse_attn_fwd,576,512,128,1,4096,16384,2048,2336462209024,10804527104,1705.932733333333,0.007981928634857248,1369.6098113192506,6.333501252941158,1350.565888,0.2083123433823552,memory
v32,prefill,sparse_attn_fwd,576,512,128,1,4096,32768,2048,2336462209024,10804527104,1711.6086666666667,0.012144189501258512,1365.0679939440986,6.312498478429453,1350.565888,0.21093769019631825,memory
v32,prefill,sparse_attn_fwd,576,512,128,1,4096,65536,2048,2336462209024,10804527104,1706.267100000002,0.009998727631799069,1369.3414173103363,6.332260115664182,1350.565888,0.20846748554197728,memory
model1_cfg2,prefill,sparse_attn_fwd,512,512,128,1,4096,8192,1024,1099511627776,5368709120,893.958000000001,0.00035426720271097064,1229.9365605274506,6.005549611950443,671.0886399999999,0.2493062985061947,memory
model1_cfg2,prefill,sparse_attn_fwd,512,512,128,1,4096,32768,1024,1099511627776,5368709120,893.9578666666675,0.0002636216710586077,1229.9367439718253,6.005550507674927,671.0886399999999,0.2493061865406341,memory
model1_cfg2,prefill,sparse_attn_fwd,512,512,128,1,4096,65536,1024,1099511627776,5368709120,894.0787333333334,0.0001778739694891423,1229.7704741021687,6.004738643076996,671.0886399999999,0.2494076696153755,memory
model1_cfg1,prefill,sparse_attn_fwd,512,512,64,1,4096,8192,512,274877906944,2684354560,381.7393000000009,0.0014816394329820429,720.0670901424069,7.031905177171942,335.54431999999997,0.12101185285350721,memory
model1_cfg1,prefill,sparse_attn_fwd,512,512,64,1,4096,32768,512,274877906944,2684354560,383.8523000000004,0.0014511658086521846,716.103321366056,6.993196497715391,335.54431999999997,0.12585043778557625,memory
model1_cfg1,prefill,sparse_attn_fwd,512,512,64,1,4096,65536,512,274877906944,2684354560,383.9377333333338,0.0014027448200802212,715.9439749709405,6.991640380575591,335.54431999999997,0.12604495242805114,memory
