# faithful FlashMLA TMA tile::gather4 scattered KV-latent gather, B200, PIPE=4 D_GATHER=256(one-CTA half) B_TOPK=64 KV_STRIDE=576 bf16 SWIZZLE_128B
s_kv,ctas_per_sm,blocks,kv_MiB,gather_tbps,ms,bytes_per_block_MiB
4096,1,148,4.5,1.9633,10.1180,128.0
4096,2,296,4.5,2.0039,19.8256,128.0
4096,4,592,4.5,2.0251,39.2355,128.0
4096,8,1184,4.5,2.0360,78.0511,128.0
16384,1,148,18.0,1.9594,10.1381,128.0
16384,2,296,18.0,2.0000,19.8638,128.0
16384,4,592,18.0,2.0217,39.3018,128.0
16384,8,1184,18.0,2.0321,78.2029,128.0
65536,1,148,72.0,1.9720,10.0729,128.0
65536,2,296,72.0,2.0085,19.7802,128.0
65536,4,592,72.0,2.0277,39.1849,128.0
65536,8,1184,72.0,2.0371,78.0091,128.0
262144,1,148,288.0,1.9595,10.1372,128.0
262144,2,296,288.0,1.9995,19.8696,128.0
262144,4,592,288.0,2.0215,39.3061,128.0
262144,8,1184,288.0,2.0317,78.2185,128.0
1048576,1,148,1152.0,1.9615,10.1271,128.0
1048576,2,296,1152.0,2.0012,19.8525,128.0
1048576,4,592,1152.0,2.0231,39.2751,128.0
1048576,8,1184,1152.0,2.0341,78.1233,128.0
