Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,CyclesPerMMA,FLOPsPerCycle,PctOfPeak
MXF8,SS,2,128,64,32,512,25.3325,20696,0.632
MXF8,TS,2,128,64,32,512,18.3232,28613,0.873
MXF8,SS,2,128,128,32,512,32.3672,32396,0.989
MXF8,TS,2,128,128,32,512,32.3310,32433,0.990
MXF8,SS,2,128,256,32,512,64.3672,32581,0.994
MXF8,TS,2,128,256,32,512,64.3310,32599,0.995
MXF8,SS,2,256,64,32,512,43.6864,24002,0.732
MXF8,TS,2,256,64,32,512,32.3154,32448,0.990
MXF8,SS,2,256,128,32,512,64.3757,32577,0.994
MXF8,TS,2,256,128,32,512,64.3154,32607,0.995
MXF8,SS,2,256,256,32,512,128.3779,32672,0.997
MXF8,TS,2,256,256,32,512,128.3193,32686,0.998
MXF4,SS,2,128,64,64,1024,25.1939,41620,0.635
MXF4,TS,2,128,64,64,1024,18.1895,57647,0.879
MXF4,SS,2,128,128,64,1024,32.2119,65105,0.993
MXF4,TS,2,128,128,64,1024,32.1938,65141,0.994
MXF4,SS,2,128,256,64,1024,64.2117,65320,0.997
MXF4,TS,2,128,256,64,1024,64.1931,65339,0.997
MXF4,SS,2,256,64,64,1024,43.5366,48170,0.735
MXF4,TS,2,256,64,64,1024,32.1860,65157,0.994
MXF4,SS,2,256,128,64,1024,64.2163,65315,0.997
MXF4,TS,2,256,128,64,1024,64.1857,65346,0.997
MXF4,SS,2,256,256,64,1024,128.2165,65425,0.998
MXF4,TS,2,256,256,64,1024,128.1873,65440,0.998
